0,4437,11,1.0
1,675,30,1.0
2,76,220,-1.0
3,3642,2,1.0
4,3209,32,1.0
5,3719,73,1.0
6,4381,10,1.0
7,898,416,-1.0
8,4485,244,1.0
9,2693,0,1.0
10,2404,40,1.0
11,2379,38,1.0
12,3788,2,1.0
13,3791,72,1.0
14,4588,42,1.0
15,43,329,-1.0
16,604,416,-1.0
17,4091,391,-1.0
18,3966,116,-1.0
19,1441,220,-1.0
20,989,82,-1.0
21,4360,36,-1.0
22,2789,72,1.0
23,248,220,-1.0
24,4611,217,1.0
25,2163,72,1.0
26,852,82,-1.0
27,4411,386,-1.0
28,3328,33,1.0
29,3351,76,1.0
30,2575,416,-1.0
31,3514,33,1.0
32,4116,220,-1.0
33,2665,98,-1.0
34,2971,344,-1.0
35,204,30,1.0
36,1227,82,-1.0
37,4444,137,-1.0
38,177,41,-1.0
39,3321,205,-1.0
40,4496,230,1.0
41,4488,312,1.0
42,1656,416,-1.0
43,3886,72,1.0
44,761,416,-1.0
45,461,30,1.0
46,750,344,-1.0
47,2399,3,1.0
48,3920,32,1.0
49,2407,33,1.0
50,3988,329,-1.0
51,2064,32,1.0
52,1410,46,1.0
53,3089,3,1.0
54,3104,31,1.0
55,1573,117,-1.0
56,2673,4,1.0
57,1178,344,-1.0
58,4603,231,1.0
59,1587,43,1.0
60,417,82,-1.0
61,554,82,-1.0
62,500,344,-1.0
63,2372,72,1.0
64,3901,0,1.0
65,511,30,1.0
66,3994,416,-1.0
67,1729,391,-1.0
68,2926,32,1.0
69,1016,30,1.0
70,4269,73,1.0
71,838,416,-1.0
72,1007,344,-1.0
73,1781,32,1.0
74,1281,11,1.0
75,418,344,-1.0
76,3677,35,1.0
77,2981,391,-1.0
78,38,12,1.0
79,992,220,-1.0
80,26,22,1.0
81,4573,0,1.0
82,1402,344,-1.0
83,2548,77,1.0
84,1173,416,-1.0
85,2180,38,1.0
86,1600,416,-1.0
87,4346,386,-1.0
88,1124,30,1.0
89,2447,2,1.0
90,448,30,1.0
91,916,30,1.0
92,2484,0,1.0
93,4607,127,-1.0
94,3903,76,1.0
95,301,43,1.0
96,4274,137,-1.0
97,2378,32,1.0
98,3597,37,1.0
99,4455,378,-1.0
100,2131,32,1.0
101,70,82,-1.0
102,612,344,-1.0
103,695,220,-1.0
104,720,43,1.0
105,1637,53,1.0
106,3044,220,-1.0
107,1876,4,1.0
108,1663,62,1.0
109,3900,31,1.0
110,2687,100,-1.0
111,2016,416,-1.0
112,4484,285,1.0
113,4489,279,1.0
114,4468,416,-1.0
115,1758,416,-1.0
116,2672,8,-1.0
117,4308,344,-1.0
118,336,416,-1.0
119,855,416,-1.0
120,1416,416,-1.0
121,741,82,-1.0
122,3293,391,-1.0
123,3394,37,1.0
124,94,344,-1.0
125,2205,77,1.0
126,2223,205,-1.0
127,1663,63,1.0
128,3095,329,-1.0
129,4165,416,-1.0
130,2967,344,-1.0
131,2665,414,-1.0
132,1774,72,1.0
133,437,344,-1.0
134,2450,73,1.0
135,3597,31,1.0
136,152,220,-1.0
137,4400,391,-1.0
138,1419,56,1.0
139,3949,137,-1.0
140,347,43,1.0
141,2190,72,1.0
142,179,43,1.0
143,1902,72,1.0
144,259,60,1.0
145,1647,416,-1.0
146,1661,386,-1.0
147,4456,36,-1.0
148,2771,73,1.0
149,745,328,-1.0
150,900,344,-1.0
151,677,43,1.0
152,3721,220,-1.0
153,137,344,-1.0
154,125,43,1.0
155,2334,1,1.0
156,734,329,-1.0
157,2697,4,1.0
158,2953,4,1.0
159,64,43,1.0
160,723,416,-1.0
161,1990,72,1.0
162,474,82,-1.0
163,2687,8,-1.0
164,4381,416,-1.0
165,3412,416,-1.0
166,2238,40,1.0
167,2262,72,1.0
168,1295,344,-1.0
169,4358,137,-1.0
170,4435,344,-1.0
171,87,416,-1.0
172,2954,72,1.0
173,2841,36,1.0
174,661,237,-1.0
175,54,82,-1.0
176,2264,39,1.0
177,166,30,1.0
178,3860,220,-1.0
179,4454,290,-1.0
180,91,414,-1.0
